2026-07-21 23:51:50,690 | INFO | scan_engine | ============================================================
2026-07-21 23:51:50,690 | INFO | scan_engine | Starting duplicate scan.
2026-07-21 23:51:50,691 | INFO | scan_engine | Validation completed.
2026-07-21 23:51:50,691 | INFO | file_service | Scanning folder: C:\Users\91960\Desktop\Assignments
2026-07-21 23:51:50,716 | INFO | file_service | Files discovered: 30
2026-07-21 23:51:50,716 | INFO | scan_engine | Discovered 30 file(s).
2026-07-21 23:51:50,716 | INFO | scan_engine | Duplicate groups found: 4
2026-07-21 23:51:50,717 | INFO | scan_engine | Duplicate scan completed.
2026-07-21 23:51:50,719 | INFO | callbacks | Duplicate groups found: 4
2026-07-21 23:51:51,472 | INFO | callbacks | Starting scan.
2026-07-21 23:51:51,473 | INFO | scan_engine | ============================================================
2026-07-21 23:51:51,474 | INFO | scan_engine | Starting duplicate scan.
2026-07-21 23:51:51,474 | INFO | scan_engine | Validation completed.
2026-07-21 23:51:51,475 | INFO | file_service | Scanning folder: C:\Users\91960\Desktop\Assignments
2026-07-21 23:51:51,496 | INFO | file_service | Files discovered: 30
2026-07-21 23:51:51,496 | INFO | scan_engine | Discovered 30 file(s).
2026-07-21 23:51:51,497 | INFO | scan_engine | Duplicate groups found: 4
2026-07-21 23:51:51,497 | INFO | scan_engine | Duplicate scan completed.
2026-07-21 23:51:51,499 | INFO | callbacks | Duplicate groups found: 4
2026-07-21 23:51:51,703 | INFO | callbacks | Starting scan.
2026-07-21 23:51:51,705 | INFO | scan_engine | ============================================================
2026-07-21 23:51:51,705 | INFO | scan_engine | Starting duplicate scan.
2026-07-21 23:51:51,706 | INFO | scan_engine | Validation completed.
2026-07-21 23:51:51,707 | INFO | file_service | Scanning folder: C:\Users\91960\Desktop\Assignments
2026-07-21 23:51:51,727 | INFO | file_service | Files discovered: 30
2026-07-21 23:51:51,727 | INFO | scan_engine | Discovered 30 file(s).
2026-07-21 23:51:51,728 | INFO | scan_engine | Duplicate groups found: 4
2026-07-21 23:51:51,728 | INFO | scan_engine | Duplicate scan completed.
2026-07-21 23:51:51,729 | INFO | callbacks | Duplicate groups found: 4
2026-07-21 23:51:52,066 | INFO | callbacks | Starting scan.
2026-07-21 23:51:52,068 | INFO | scan_engine | ============================================================
2026-07-21 23:51:52,068 | INFO | scan_engine | Starting duplicate scan.
2026-07-21 23:51:52,069 | INFO | scan_engine | Validation completed.
2026-07-21 23:51:52,069 | INFO | file_service | Scanning folder: C:\Users\91960\Desktop\Assignments
2026-07-21 23:51:52,092 | INFO | file_service | Files discovered: 30
2026-07-21 23:51:52,092 | INFO | scan_engine | Discovered 30 file(s).
2026-07-21 23:51:52,092 | INFO | scan_engine | Duplicate groups found: 4
2026-07-21 23:51:52,092 | INFO | scan_engine | Duplicate scan completed.
2026-07-21 23:51:52,094 | INFO | callbacks | Duplicate groups found: 4
2026-07-21 23:54:32,688 | INFO | logging_service | ============================================================
2026-07-21 23:54:32,700 | INFO | logging_service | Application Started
2026-07-22 00:05:28,874 | INFO | logging_service | ============================================================
2026-07-22 00:05:28,874 | INFO | logging_service | Application Started
2026-07-22 00:06:15,487 | INFO | logging_service | ============================================================
2026-07-22 00:06:15,487 | INFO | logging_service | Application Started
2026-07-22 00:06:33,638 | INFO | logging_service | ============================================================
2026-07-22 00:06:33,640 | INFO | logging_service | Application Started
2026-07-22 00:12:54,589 | INFO | logging_service | ============================================================
2026-07-22 00:12:54,595 | INFO | logging_service | Application Started
2026-07-22 00:13:16,858 | INFO | callbacks | Starting duplicate scan.
2026-07-22 00:13:16,860 | INFO | scan_engine | ============================================================
2026-07-22 00:13:16,860 | INFO | scan_engine | Starting duplicate scan.
2026-07-22 00:13:16,861 | INFO | scan_engine | Validation completed.
2026-07-22 00:13:16,861 | INFO | file_service | Scanning folder: C:\Users\91960\Desktop\Assignments
2026-07-22 00:13:16,913 | INFO | file_service | Files discovered: 30
2026-07-22 00:13:16,914 | INFO | scan_engine | Discovered 30 file(s).
2026-07-22 00:13:16,914 | INFO | scan_engine | Duplicate groups found: 4
2026-07-22 00:13:16,914 | INFO | scan_engine | Duplicate scan completed.
2026-07-22 00:13:16,917 | INFO | callbacks | Duplicate scan completed.
2026-07-22 00:13:24,510 | INFO | callbacks | Starting duplicate scan.
2026-07-22 00:13:24,511 | INFO | scan_engine | ============================================================
2026-07-22 00:13:24,512 | INFO | scan_engine | Starting duplicate scan.
2026-07-22 00:13:24,512 | INFO | scan_engine | Validation completed.
2026-07-22 00:13:24,513 | INFO | file_service | Scanning folder: C:\Users\91960\Desktop\Assignments
2026-07-22 00:13:24,533 | INFO | file_service | Files discovered: 30
2026-07-22 00:13:24,533 | INFO | scan_engine | Discovered 30 file(s).
2026-07-22 00:13:24,610 | INFO | scan_engine | Duplicate groups found: 4
2026-07-22 00:13:24,611 | INFO | scan_engine | Duplicate scan completed.
2026-07-22 00:13:24,612 | INFO | callbacks | Duplicate scan completed.
2026-07-22 00:13:25,457 | INFO | callbacks | Starting duplicate scan.
2026-07-22 00:13:25,458 | INFO | scan_engine | ============================================================
2026-07-22 00:13:25,458 | INFO | scan_engine | Starting duplicate scan.
2026-07-22 00:13:25,459 | INFO | scan_engine | Validation completed.
2026-07-22 00:13:25,459 | INFO | file_service | Scanning folder: C:\Users\91960\Desktop\Assignments
2026-07-22 00:13:25,480 | INFO | file_service | Files discovered: 30
